<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20120217,4.46,4.52,4.38,4.52,10700
Atlantic American Corp.,AAME,20120217,2.28,2.3,2.25,2.29,11700
Aaon,AAON,20120217,19.27,19.36,19.14,19.23,31100
Apple Inc.,AAPL,20120217,503.11,507.77,500.3,502.12,19135300
Atlas Air Worldwide Holdings,AAWW,20120217,45.93,46.34,45.43,45.96,482400
MSCI All Country Asia Ex Japan,AAXJ,20120217,57.9,57.99,57.61,57.81,161000
Abaxis,ABAX,20120217,26.38,26.81,26.11,26.24,139600
Ameris Bancorp,ABCB,20120217,11.05,11.36,11.05,11.27,30900
Cambium Learning Group,ABCD,20120217,3.19,3.24,3.04,3.04,19000
The Advisory Board Company,ABCO,20120217,75.78,76.58,75.72,76.3,60400
Arkansas Best Corp.,ABFS,20120217,19.38,19.5,19.1,19.26,122100
Arca Biopharma,ABIO,20120217,1,1.01,0.99,1,92300
Abiomed,ABMD,20120217,23.26,23.29,22.22,22.37,597800
Autobytel Inc.,ABTL,20120217,0.97,1.05,0.97,1.05,120800
Alliance Bankshares Corp.,ABVA,20120217,3.55,3.55,3.48,3.54,6800
Acadia Pharmaceuticals Inc.,ACAD,20120217,1.86,1.86,1.78,1.79,122400
American Capital,ACAS,20120217,8.98,9,8.76,8.89,5502300
Arctic Cat Inc.,ACAT,20120217,35,35,34.45,34.47,139400
Accelrys,ACCL,20120217,7.29,7.35,7.12,7.31,91000
Aceto Corp.,ACET,20120217,8.22,8.4,8.14,8.27,357400
Atlantic Coast Federal Corp.,ACFC,20120217,2.25,2.25,2.25,2.25,300
Acorn Energy,ACFN,20120217,8.41,8.41,7.9,7.93,159800
Arch Capital Group Ltd,ACGL,20120217,37.54,37.99,37.54,37.56,492800
Acadia Healthcare Company Inc.,ACHC,20120217,13.5,14.09,13.5,13.87,87700
Achillion Pharmaceuticals,ACHN,20120217,10.6,11.14,10.43,11.04,6507600
Aci Worldwide,ACIW,20120217,36.18,36.33,35.88,36.2,309900
Axcelis Technologies,ACLS,20120217,1.66,1.83,1.66,1.79,2385900
Acnb Corp.,ACNB,20120217,14.46,14.47,14.4,14.46,800
Ancestry.Com,ACOM,20120217,24.07,24.49,23.43,24.34,1963900
Acorda Therapeutics,ACOR,20120217,26.2,26.5,25.4,25.73,737500
Active Power,ACPW,20120217,0.8,0.81,0.79,0.8,365100
Acelrx Pharmaceuticals,ACRX,20120217,3.05,3.2,3,3,10600
Acacia Research Corp.,ACTG,20120217,40.21,41.02,39.86,40,732500
Actions Semiconductor Co.,ACTS,20120217,1.75,1.79,1.75,1.79,63600
Acura Pharmaceuticals,ACUR,20120217,3.33,3.36,3.25,3.28,70400
MSCI Acwi,ACWI,20120217,46.37,46.42,46.16,46.3,644400
MSCI Acwi Ex US,ACWX,20120217,40.85,40.85,40.57,40.76,92800
Acxiom Corp.,ACXM,20120217,14.32,14.34,14,14.06,458600
Authentidate Holding,ADAT,20120217,0.7,0.74,0.68,0.7,36400
Adobe Systems Incorporated,ADBE,20120217,32.97,33.05,32.75,32.75,3686300
Adept Technology,ADEP,20120217,3.99,4.19,3.96,4.15,80000
Ada-Es,ADES,20120217,21.96,22.25,21.75,21.78,24500
Adams Golf,ADGF,20120217,7.88,8.05,7.88,7.91,11100
Automatic Data Processing,ADP,20120217,53.99,54.47,53.92,54.25,2917500
Bldrs Asia 50 Adr,ADRA,20120217,26.41,26.41,25.75,25.85,1100
Bldrs Developed Markets 100 Adr,ADRD,20120217,20.43,20.46,20.38,20.44,7900
Bldrs Emerging Markets 50 Adr,ADRE,20120217,43.99,43.99,43.6,43.83,26200
Bldrs Europe 100 Adr,ADRU,20120217,20.06,20.2,19.82,19.87,1500
Autodesk,ADSK,20120217,39.58,39.58,38.88,38.91,2182300
Adtran,ADTN,20120217,38.56,38.83,38.11,38.4,747900
Addus Homecare Corp.,ADUS,20120217,3.47,3.6,3.38,3.55,6400
Advent Software,ADVS,20120217,27.38,27.38,26.75,26.8,136100
Aegoin Corp,AEGN,20120217,18.21,18.62,18.11,18.4,205000
Aegerion Pharmaceuticals,AEGR,20120217,17.47,17.5,17.03,17.46,34700
Aehr Test Systems,AEHR,20120217,0.86,0.86,0.85,0.86,1200
Advanced Energy Industries,AEIS,20120217,11.28,11.6,11.28,11.49,245500
Aep Industries Inc.,AEPI,20120217,35.78,36.28,35.31,35.57,9100
Asia Entertainment & Resources Ltd,AERL,20120217,7.09,7.12,6.86,6.96,77100
American Electric Technologies,AETI,20120217,4.6,4.71,4.42,4.6,5800
Addvantage Technologies Group,AEY,20120217,2.08,2.18,2.07,2.13,22200
Aeterna Zentaris,AEZS,20120217,1.65,1.65,1.6,1.64,876100
Almost Family Inc,AFAM,20120217,19.87,20.27,19.86,20.22,48000
Afc Enterprises,AFCE,20120217,17.47,17.61,17.35,17.42,53600
Affirmative Insurance Holdings,AFFM,20120217,0.98,1.09,0.98,1,4100
Affymetrix,AFFX,20120217,4.62,4.64,4.54,4.61,558500
Affymax,AFFY,20120217,10.85,10.9,10.52,10.55,744000
Alliance Fiber Optic Products,AFOP,20120217,9.11,10,9.11,9.85,94100
Amtrust Financial Services,AFSI,20120217,27.66,27.73,27.5,27.55,243500
Agenus Inc.,AGEN,20120217,3.05,3.1,2.9,2.98,76900
Argo Group International Holdings Ltd,AGII,20120217,29.89,30.03,29.73,29.88,69200
American Capital Agency,AGNC,20120217,30.28,30.5,30.23,30.37,4787200
Agilysys,AGYS,20120217,7.78,7.89,7.55,7.77,97300
Alliance Holdings Gp L.P.,AHGP,20120217,50.85,51.12,49.61,50.4,38400
Allied Healthcare Products,AHPI,20120217,3.17,3.49,3.17,3.49,9900
Altra Holdings,AIMC,20120217,20.78,21.62,19.58,20.05,492800
Apollo Investment Corp.,AINV,20120217,7.2,7.21,7.14,7.2,1216200
Air Methods Corp.,AIRM,20120217,89.74,89.74,87.58,88.31,59100
Air T,AIRT,20120217,9.37,9.37,9.3,9.34,9700
Aixtron Se,AIXG,20120217,17.47,17.65,17.24,17.57,591900
Akamai Technologies,AKAM,20120217,38.43,38.46,37.42,37.8,2778300
Akorn,AKRX,20120217,12.6,12.6,12.22,12.31,836200
