<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Asset Acceptance Capital,AACC,20130222,5.33,5.34,5.11,5.26,14400
AC Asia Information Tech MSCI Ishares,AAIT,20130222,27.89,28.05,27.82,28.05,6700
Atlantic American Corp.,AAME,20130222,3.23,3.25,3.23,3.25,400
Aaon,AAON,20130222,24.05,24.52,23.84,24.32,53400
Apple Inc.,AAPL,20130222,449.25,451.6,446.6,450.81,11809000
Atlas Air Worldwide Holdings,AAWW,20130222,47.14,48.17,47.01,47.89,565600
All Country Asia Ex Jpn Idx MSCI Ishares,AAXJ,20130222,60.11,60.14,59.77,59.95,371500
Abaxis,ABAX,20130222,42.98,43.56,42.51,43.52,143000
Ameris Bancorp,ABCB,20130222,14,14.06,13.95,14.03,21700
Cambium Learning Group,ABCD,20130222,1.2,1.24,1.2,1.24,8800
The Advisory Board Company,ABCO,20130222,49.87,50.54,49.74,50.3,100300
Arkansas Best Corp.,ABFS,20130222,11.04,11.58,11.01,11.47,271600
Arca Biopharma,ABIO,20130222,0.56,0.57,0.53,0.54,381600
Abiomed,ABMD,20130222,14.39,14.89,14.33,14.72,693300
Autobytel Inc.,ABTL,20130222,4.28,4.3,4.28,4.28,7100
Acadia Pharmaceuticals Inc.,ACAD,20130222,6.05,6.15,5.99,6.13,584700
American Capital,ACAS,20130222,13.92,14.04,13.87,13.96,4715100
Arctic Cat Inc.,ACAT,20130222,36.3,36.74,36.1,36.31,206900
Accelrys,ACCL,20130222,9.66,9.87,9.56,9.84,190000
Aceto Corp.,ACET,20130222,10.5,10.57,10.34,10.5,79400
Atlantic Coast Federal Corp.,ACFC,20130222,3.41,3.44,3.32,3.35,1300
Acorn Energy,ACFN,20130222,7.06,7.13,6.84,6.97,77400
Arch Capital Group Ltd,ACGL,20130222,48.07,48.4,47.94,48.4,411500
Acadia Healthcare Company Inc.,ACHC,20130222,26.53,27.06,26.28,26.8,377200
Achillion Pharmaceuticals,ACHN,20130222,8.65,8.87,8.35,8.86,6228100
Aci Worldwide,ACIW,20130222,46.69,47.38,46.32,47.32,110400
Axcelis Technologies,ACLS,20130222,1.22,1.27,1.19,1.26,228000
Acnb Corp.,ACNB,20130222,16.94,16.94,16.61,16.61,1000
Acorda Therapeutics,ACOR,20130222,30.07,30.26,29.7,30,348000
Active Power,ACPW,20130222,4.7,4.8,4.65,4.8,36200
Acelrx Pharmaceuticals,ACRX,20130222,5.39,5.46,5.21,5.33,63900
Acasti Pharma Inc,ACST,20130222,2.36,2.36,2.3,2.33,5600
Acacia Research Corp.,ACTG,20130222,32.35,32.59,28.76,29.2,2209900
Actions Semiconductor Co.,ACTS,20130222,2.1,2.12,2.1,2.11,22400
Acura Pharmaceuticals,ACUR,20130222,2.08,2.1,2.03,2.08,72300
ACWI Index MSCI Ishares,ACWI,20130222,49.82,49.97,49.62,49.96,426300
ACWI Ex-US Index MSCI Ishares,ACWX,20130222,42.49,42.7,42.36,42.7,192800
Acxiom Corp.,ACXM,20130222,18.03,18.14,17.97,18.09,422800
Authentidate Holding,ADAT,20130222,0.74,0.74,0.65,0.74,27800
Adobe Systems Incorporated,ADBE,20130222,38.54,38.87,38.37,38.55,2835400
Adept Technology,ADEP,20130222,3.33,3.52,3.25,3.32,7800
Ada-Es,ADES,20130222,25.11,25.55,24.79,25.46,37100
Analog Devices,ADI,20130222,45.19,45.89,45.19,45.52,2320200
Audience Inc.,ADNC,20130222,13.5,13.74,13.41,13.63,97400
Automatic Data Processing,ADP,20130222,60.71,61.02,60.34,61.01,1570000
Asia 50 ADR Index Bldrs,ADRA,20130222,27.06,27.16,26.9,27.16,4400
Dev Mkts 100 ADR Index Bldrs,ADRD,20130222,21.5,21.7,21.49,21.7,3500
Emrg Mkts 50 ADR Index Bldrs,ADRE,20130222,39.56,39.6,39.35,39.6,40000
Europe 100 ADR Index Bldrs,ADRU,20130222,21.05,21.1,21.01,21.09,4800
Autodesk,ADSK,20130222,38.1,38.37,37.82,37.91,2684900
Adtran,ADTN,20130222,23.1,23.5,23,23.37,755600
Addus Homecare Corp.,ADUS,20130222,8.72,9.5,8.72,9.37,50400
Advent Software,ADVS,20130222,25.79,26.48,25.79,26.43,116900
Aegoin Corp,AEGN,20130222,23.45,23.66,23.09,23.47,218200
Aegerion Pharmaceuticals,AEGR,20130222,28.28,29.34,28.28,29.28,370800
Aehr Test Systems,AEHR,20130222,0.95,0.95,0.88,0.88,1500
Advanced Energy Industries,AEIS,20130222,17.7,18.35,17.5,17.94,512600
Aep Industries Inc.,AEPI,20130222,64.04,65.87,64.04,65.75,22300
Asia Entertainment & Resources Ltd,AERL,20130222,3.52,3.63,3.45,3.54,143700
American Electric Technologies,AETI,20130222,4.98,4.98,4.83,4.98,600
Addvantage Technologies Group,AEY,20130222,2.33,2.33,2.18,2.3,7400
Aeterna Zentaris,AEZS,20130222,2.58,2.58,2.48,2.58,237900
Almost Family Inc,AFAM,20130222,20.7,20.83,20.39,20.82,28400
Athens Bancshares Corp.,AFCB,20130222,18.17,18.17,18.17,18.17,100
Afc Enterprises,AFCE,20130222,31.48,31.56,31.25,31.35,229600
Affymetrix,AFFX,20130222,3.85,3.88,3.78,3.87,474500
