Symbol, CCI, Date
GOOG, 1105.40166745305, 23/01/2012
GOOG, 1060.18689269299, 24/01/2012
GOOG, 996.11906246885, 25/01/2012
GOOG, 950.912571897709, 26/01/2012
GOOG, 929.588131239397, 27/01/2012
GOOG, 897.950928086157, 30/01/2012
GOOG, 865.460566532521, 31/01/2012
GOOG, 831.78426286278, 01/02/2012
GOOG, 799.043286388849, 02/02/2012
GOOG, 773.105778451224, 03/02/2012
GOOG, 756.322085012716, 06/02/2012
GOOG, 724.071739566474, 07/02/2012
GOOG, 692.968298550261, 08/02/2012
GOOG, 658.063808959061, 09/02/2012
GOOG, 614.715296508473, 10/02/2012
GOOG, 584.982360641548, 13/02/2012
GOOG, 544.041346331538, 14/02/2012
GOOG, 505.8718278907, 15/02/2012
GOOG, 465.116517361647, 16/02/2012
GOOG, 426.14928822885, 17/02/2012
GOOG, 390.250164500913, 20/02/2012
